Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tajine-artisanal-peint-floral-elegant-39cm,Tajine Artisanal Peint Motif Floral Élégant 39 cm,"<p><strong>Tajine artisanal peint à la main</strong>, orné d'un motif floral élégant et coloré. Diamètre de 39 cm, une pièce raffinée de l'artisanat marocain.</p><ul>
<li>Diamètre : 39 cm</li>
<li>Peint à la main</li>
<li>Motif floral élégant</li>
</ul>",My Store,,Tajine,"artisanat marocain, peint main, poterie, tajine",true,Title,Default Title,,,,,,,,,2100.0,,100,deny,manual,24.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/329.png?v=1785897074,1,Tajine Artisanal Peint Motif Floral Élégant 39 cm,false,,,,kg,,,active
tajine-artisanal-peint-feuilles-multicolores-32cm,Tajine Artisanal Peint Motif Feuilles Multicolores 32 cm,"<p><strong>Tajine artisanal peint à la main</strong>, orné d'un motif de feuilles multicolores. Diamètre de 32 cm, pièce décorative et fonctionnelle.</p><ul>
<li>Diamètre : 32 cm</li>
<li>Peint à la main</li>
<li>Motif de feuilles multicolores</li>
</ul>",My Store,,Tajine,"artisanat marocain, peint main, poterie, tajine",true,Title,Default Title,,,,,,,,,1600.0,,100,deny,manual,15.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/330.png?v=1785897088,1,Tajine Artisanal Peint Motif Feuilles Multicolores 32 cm,false,,,,kg,,,active
tajine-artisanal-peint-geometrique-27cm,Tajine Artisanal Peint Motif Géométrique 27 cm,"<p><strong>Tajine artisanal peint à la main</strong>, orné d'un motif géométrique traditionnel. Diamètre de 27 cm, pièce décorative et fonctionnelle.</p><ul>
<li>Diamètre : 27 cm</li>
<li>Peint à la main</li>
<li>Motif géométrique traditionnel</li>
</ul>",My Store,,Tajine,"artisanat marocain, peint main, poterie, tajine",true,Title,Default Title,,,,,,,,,1300.0,,100,deny,manual,12.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/331.png?v=1785897088,1,Tajine Artisanal Peint Motif Géométrique 27 cm,false,,,,kg,,,active
khabia-jarre-conservation-decoree-21cm,Khabia Jarre de Conservation Décorée 21 cm,"<p><strong>Khabia artisanale marocaine</strong>, jarre traditionnelle de conservation en terre cuite, richement décorée à la main avec couvercle assorti. Hauteur de 21 cm.</p><ul>
<li>Hauteur : 21 cm</li>
<li>Décoration peinte à la main</li>
<li>Fabrication artisanale marocaine</li>
</ul>",My Store,,Poterie,"artisanat marocain, jarre, khabia, poterie",true,Title,Default Title,,,,,,,,,1200.0,,100,deny,manual,8.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/332.png?v=1785897088,1,Khabia Jarre de Conservation Décorée 21 cm,false,,,,kg,,,active
gesaa-couscous-peinte-49cm,Gesaa à Couscous Peinte 49 cm,"<p><strong>Gesaa artisanale marocaine</strong> peinte à la main, plat traditionnel utilisé pour servir le couscous. Diamètre de 49 cm, avec couvercle assorti.</p><ul>
<li>Diamètre : 49 cm</li>
<li>Peinte à la main</li>
<li>Traditionnellement utilisée pour le couscous</li>
</ul>",My Store,,Poterie,"artisanat marocain, couscous, gesaa, poterie",true,Title,Default Title,,,,,,,,,2800.0,,100,deny,manual,24.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/333.png?v=1785897088,1,Gesaa à Couscous Peinte 49 cm,false,,,,kg,,,active
tajine-terre-cuite-naturelle-38cm,Tajine en Terre Cuite Naturelle 38 cm,"<p><strong>Tajine artisanal marocain</strong> en terre cuite naturelle, avec cerclage métallique. Diamètre de 38 cm, fabriqué à la main selon la tradition.</p><ul>
<li>Diamètre : 38 cm</li>
<li>Terre cuite naturelle artisanale</li>
<li>Fabrication traditionnelle marocaine</li>
</ul>",My Store,,Tajine,"artisanat marocain, poterie, tajine, terre cuite",true,Title,Default Title,,,,,,,,,2200.0,,100,deny,manual,19.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/334.png?v=1785897088,1,Tajine en Terre Cuite Naturelle 38 cm,false,,,,kg,,,active
tajine-terre-cuite-cerclage-bois-emaille-43cm,Tajine en Terre Cuite Émaillée avec Cerclage et Poignées Bois 43 cm,"<p><strong>Tajine artisanal marocain</strong> en terre cuite émaillée, avec cerclage métallique et poignées en bois. Grand format de 43 cm, idéal pour les grandes tablées.</p><ul>
<li>Diamètre : 43 cm</li>
<li>Terre cuite émaillée</li>
<li>Cerclage métallique et poignées bois</li>
</ul>",My Store,,Tajine,"artisanat marocain, poterie, tajine, terre cuite",true,Title,Default Title,,,,,,,,,2600.0,,100,deny,manual,21.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/335.png?v=1785897088,1,Tajine en Terre Cuite Émaillée avec Cerclage et Poignées Bois 43 cm,false,,,,kg,,,active
tajine-terre-cuite-naturelle-29cm,Tajine en Terre Cuite Naturelle 29 cm,"<p><strong>Tajine artisanal marocain</strong> en terre cuite naturelle, fabriqué à la main. Diamètre de 29 cm, idéal pour une cuisson traditionnelle.</p><ul>
<li>Diamètre : 29 cm</li>
<li>Terre cuite naturelle artisanale</li>
<li>Fabrication traditionnelle marocaine</li>
</ul>",My Store,,Tajine,"artisanat marocain, poterie, tajine, terre cuite",true,Title,Default Title,,,,,,,,,1400.0,,100,deny,manual,15.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/336.png?v=1785897087,1,Tajine en Terre Cuite Naturelle 29 cm,false,,,,kg,,,active
tajine-terre-cuite-cerclage-bois-29cm,Tajine en Terre Cuite avec Cerclage et Poignées Bois 29 cm,"<p><strong>Tajine artisanal marocain</strong> en terre cuite, avec cerclage métallique et poignées en bois. Diamètre de 29 cm.</p><ul>
<li>Diamètre : 29 cm</li>
<li>Cerclage métallique et poignées bois</li>
<li>Fabrication traditionnelle marocaine</li>
</ul>",My Store,,Tajine,"artisanat marocain, poterie, tajine, terre cuite",true,Title,Default Title,,,,,,,,,1300.0,,100,deny,manual,14.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/337.png?v=1785897088,1,Tajine en Terre Cuite avec Cerclage et Poignées Bois 29 cm,false,,,,kg,,,active
tajine-terre-cuite-cerclage-bois-26cm,Tajine en Terre Cuite avec Cerclage et Poignées Bois 26 cm,"<p><strong>Tajine artisanal marocain</strong> en terre cuite, avec cerclage métallique et poignées en bois. Diamètre de 26 cm.</p><ul>
<li>Diamètre : 26 cm</li>
<li>Cerclage métallique et poignées bois</li>
<li>Fabrication traditionnelle marocaine</li>
</ul>",My Store,,Tajine,"artisanat marocain, poterie, tajine, terre cuite",true,Title,Default Title,,,,,,,,,1100.0,,100,deny,manual,12.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0986/8535/4273/files/338.png?v=1785897088,1,Tajine en Terre Cuite avec Cerclage et Poignées Bois 26 cm,false,,,,kg,,,active
